name,image_url,image_path
Jaden Hardy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardy_Jaden_dal24.jpg,Jaden_Hardy.jpg
E.J. Harkless,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harkless_Elijah_csun19.jpg,E.J._Harkless.jpg
Ron Harper,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Ron_bos24.jpg,Ron_Harper.jpg
Gary Harris,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Gary_orl24.jpg,Gary_Harris.jpg
Tobias Harris,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Tobias_det24.jpg,Tobias_Harris.jpg
Josh Hart,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hart_Josh_nyk24.jpg,Josh_Hart.jpg
Isaiah Hartenstein,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hartenstein_Isaiah_okc24.jpg,Isaiah_Hartenstein.jpg
Sam Hauser,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hauser_Sam_bos24.jpg,Sam_Hauser.jpg
Jordan Hawkins,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hawkins_Jordan_nop24.jpg,Jordan_Hawkins.jpg
Jaxson Hayes,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hayes_Jaxson_lal24.jpg,Jaxson_Hayes.jpg
Scoot Henderson,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Henderson_Scoot_por24.jpg,Scoot_Henderson.jpg
Taylor Hendricks,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hendricks_Taylor_uta24.jpg,Taylor_Hendricks.jpg
Tyler Herro,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Herro_Tyler_mia24.jpg,Tyler_Herro.jpg
Buddy Hield,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hield_Buddy_gsw24.jpg,Buddy_Hield.jpg
Haywood Highsmith,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Highsmith_Highwood_mia24.jpg,Haywood_Highsmith.jpg
